Point ID,area,continuity,lambda_continuity,lambda_momentum_x,lambda_momentum_y,momentum_x,momentum_y,p,p__x,p__y,Points_0,Points_1,Points_2,Points_Magnitude,pred_continuity,pred_momentum_x,pred_momentum_y,sdf,sdf__x,sdf__y,true_continuity,true_momentum_x,true_momentum_y,u,u__x,u__x__x,u__x__y,u__y,u__y__y,v,v__x,v__x__x,v__x__y,v__y,v__y__x,v__y__y
2399,2.5e-06,0.00503874,0.0146722,0.0146722,0.0146722,0.167797,0.464096,-0.540551,0.278359,-0.0209541,0.0353278,0.00549521,0,0.0357526,0.00503874,0.167797,0.464096,0.0146722,-1,0,0,0,0,-0.0882259,7.48293,130.777,345.125,-5.80567,-203.649,-0.081456,2.09692,731.351,-166.969,-7.47789,-166.968,-328.051
2400,2.5e-06,0.157546,0.0264866,0.0264866,0.0264866,-0.107116,-0.0149975,-0.569329,-0.446159,-0.740137,0.0132775,0.0235134,0,0.0270032,0.157546,-0.107116,-0.0149975,0.0264866,0,-1,0,0,0,-0.101052,-1.5337,-227.334,252.22,12.6916,849.578,0.0350274,-5.77909,-346.378,245.82,1.69125,245.82,-248.893
2401,2.5e-06,0.0186552,0.0308621,0.0308621,0.0308621,0.087781,0.0786492,-0.542862,0.0485422,0.00996898,0.0191379,-0.0112148,0,0.0221818,0.0186552,0.087781,0.0786492,0.0308621,-1,0,0,0,0,-0.0570906,1.26199,172.299,35.4655,-4.61419,-232.7,-0.0109405,-1.0858,147.023,-162.456,-1.24333,-162.456,-45.1676
2402,2.5e-06,-0.0168028,0.0432791,0.0432791,0.0432791,0.0023536,-0.0049397,-0.54809,-0.0870335,-0.462701,-0.00672089,0.00558863,0,0.00874089,-0.0168028,0.0023536,-0.0049397,0.0432791,1,0,0,0,0,-0.107236,-3.30583,29.4267,-26.236,-3.0466,196.905,0.0689495,-1.6251,-186.394,-32.3725,3.28903,-32.3725,24.4479
2403,2.5e-06,0.431248,0.018354,0.018354,0.018354,-0.346556,0.0102607,-0.568903,1.49555,0.210017,0.0305197,0.031646,0,0.043965,0.431248,-0.346556,0.0102607,0.018354,0,-1,0,0,0,-0.0294923,-7.86448,-412.507,-248.718,20.7347,967.921,-0.0865676,-14.5866,-1230.29,453.417,8.29573,453.417,238.925
2404,2.5e-06,-0.0616484,0.0133174,0.0133174,0.0133174,-0.00709428,0.337917,-0.541085,-0.0703792,0.121288,0.0366826,-0.00200578,0,0.0367374,-0.0616484,-0.00709428,0.337917,0.0133174,-1,0,0,0,0,-0.0448892,4.60418,-95.2914,358.366,-3.5426,-221.723,-0.0320894,2.55056,191.206,116.06,-4.66583,116.06,-361.991
2405,2.5e-06,0.155232,0.0107326,0.0107326,0.0107326,0.0216018,0.00568096,-0.543524,0.0155569,0.00623109,0.0112619,-0.0392674,0,0.0408505,0.155232,0.0216018,0.00568096,0.0107326,0,1,0,0,0,-0.00192017,0.0737634,1.25866,9.5507,-0.471426,-56.3106,0.00240305,0.0354284,16.6559,-2.47904,0.0814685,-2.47902,-16.6678
2406,2.5e-06,0.0816634,0.0298309,0.0298309,0.0298309,0.0767965,-0.0424643,-0.544992,0.0506976,-0.102082,-0.0201691,-0.0070572,0,0.0213681,0.0816634,0.0767965,-0.0424643,0.0298309,1,0,0,0,0,-0.0300422,-2.21274,-32.1007,-109.416,-2.19078,-80.0721,0.0380509,0.313426,-96.5627,29.8893,2.29441,29.8892,110.594
2407,2.5e-06,-0.0175073,0.0348311,0.0348311,0.0348311,-0.129689,-0.0387412,-0.553798,-0.329693,-0.677364,-0.00597754,0.0151689,0,0.0163042,-0.0175073,-0.129689,-0.0387412,0.0348311,0,-1,0,0,0,-0.124792,-2.45301,42.9173,230.885,0.520728,590.488,0.0969959,-2.06022,-197.323,-36.6205,2.43551,-36.6204,-233.749
2408,2.5e-06,0.012789,0.0249293,0.0249293,0.0249293,0.0117172,-0.0829919,-0.548118,0.00713923,-0.278329,-0.0250707,0.00811101,0,0.0263501,0.012789,0.0117172,-0.0829919,0.0249293,1,0,0,0,0,-0.0519341,-3.33495,-23.8508,-54.6681,-2.36414,7.01649,0.0778273,1.48927,-145.784,22.3908,3.34774,22.3909,45.2486
2409,2.5e-06,0.125772,0.0102859,0.0102859,0.0102859,0.0215177,-0.0590323,-0.545317,0.00906277,-0.057633,-0.0397141,-0.0152622,0,0.0425458,0.125772,0.0215177,-0.0590323,0.0102859,1,0,0,0,0,0.00450098,-0.499064,-58.2381,-39.9655,-0.130139,-29.6891,0.011293,0.842845,11.6599,48.2839,0.624836,48.2839,37.2395
2410,2.5e-06,0.0981047,0.0167408,0.0167408,0.0167408,0.0689341,-0.129485,-0.546548,0.0547556,-0.16024,-0.0332592,-0.000835069,0,0.0332697,0.0981047,0.0689341,-0.129485,0.0167408,1,0,0,0,0,-0.0122374,-2.03035,-89.999,-99.4511,-1.29492,-60.6965,0.0380689,1.81889,-52.8074,87.5239,2.12846,87.5238,101.022
2411,2.5e-06,-0.122096,0.00904787,0.00904787,0.00904787,-0.729039,-0.158452,-0.573087,0.149001,0.0336383,0.019452,0.0409521,0,0.0453372,-0.122096,-0.729039,-0.158452,0.00904787,0,-1,0,0,0,0.250352,-0.501061,-365.885,97.59,34.0141,4803.2,0.0240217,-1.55283,-138.187,356.856,0.378965,356.857,-136.573
2412,2.5e-06,0.286591,0.00382063,0.00382063,0.00382063,0.381504,1.76852,-0.542195,-0.609525,0.327634,0.0461794,0.0167753,0,0.0491319,0.286591,0.381504,1.76852,0.00382063,-1,0,0,0,0,-0.0299693,10.3859,-1737.15,778.34,-1.88176,-100.839,-0.0906022,25.1152,339.812,2029.5,-10.0993,2029.5,-816.04
2413,2.5e-06,0.0977042,0.017001,0.017001,0.017001,0.0481469,-0.0296702,-0.544992,0.0406311,-0.0360497,-0.032999,-0.0179473,0,0.0375638,0.0977042,0.0481469,-0.0296702,0.017001,1,0,0,0,0,0.000941917,-0.729068,-46.0536,-51.7765,-0.344358,-41.878,0.0144374,0.634007,-29.6947,42.9282,0.826772,42.9282,48.2111
2414,2.5e-06,-0.0392761,0.0117212,0.0117212,0.0117212,-0.204104,-0.0104691,-0.558129,0.22329,-0.668481,-0.0382788,0.0324195,0,0.0501627,-0.0392761,-0.204104,-0.0104691,0.0117212,1,0,0,0,0,-0.0529993,-4.48454,464.095,130.125,-3.02013,-186.57,0.139951,1.82033,-347.434,-456.474,4.44526,-456.474,-103.881
2415,2.5e-06,-0.0327936,0.00704723,0.00704723,0.00704723,-1.12758,-0.187979,-0.571869,-0.427786,0.127366,0.0128643,0.0429528,0,0.0448378,-0.0327936,-1.12758,-0.187979,0.00704723,0,-1,0,0,0,0.326089,1.52734,-248.86,-51.4376,47.1266,8748.75,0.0289669,-0.535388,-19.7363,234.854,-1.56013,234.854,60.2776
2416,2.5e-06,0.0604467,0.0114925,0.0114925,0.0114925,-0.00041868,-0.163637,-0.551724,0.00409214,-0.34607,-0.0385075,0.019007,0,0.0429429,0.0604467,-0.00041868,-0.163637,0.0114925,1,0,0,0,0,-0.0257017,-3.69862,-47.9255,-117.423,-1.38399,-26.7758,0.0818553,3.50965,-85.1989,33.5571,3.75907,33.5571,95.5185
2417,2.5e-06,0.122493,0.0108656,0.0108656,0.0108656,0.0364053,-0.130259,-0.546324,0.0238438,-0.131142,-0.0391344,-0.00418625,0,0.0393576,0.122493,0.0364053,-0.130259,0.0108656,1,0,0,0,0,0.000237703,-1.16794,-97.3149,-74.9147,-0.588706,-45.1137,0.0221327,1.58321,29.9847,84.5775,1.29043,84.5775,79.1188
2418,2.5e-06,-0.0179384,0.0428196,0.0428196,0.0428196,-0.0191326,0.00222793,-0.548814,-0.116456,-0.494532,-0.00709771,0.00718043,0,0.0100963,-0.0179384,-0.0191326,0.00222793,0.0428196,0,-1,0,0,0,-0.110564,-3.33519,26.219,3.09251,-2.7025,230.255,0.074822,-1.60184,-191.588,-28.1372,3.31725,-28.1372,-4.028
2419,2.5e-06,0.0394043,0.0185991,0.0185991,0.0185991,-0.285764,-0.185179,-0.569164,-0.649907,-0.236299,0.00704597,0.0314009,0,0.0321817,0.0394043,-0.285764,-0.185179,0.0185991,0,-1,0,0,0,0.0142457,1.70543,-156.809,245.441,17.0119,1004.18,0.0606723,-2.98019,-98.9597,167.57,-1.66603,167.57,-230.494
2420,2.5e-06,0.010807,0.0355398,0.0355398,0.0355398,-0.0983941,-0.0562867,-0.55497,-0.351385,-0.826737,-0.00103293,0.0144602,0,0.014497,0.010807,-0.0983941,-0.0562867,0.0355398,0,-1,0,0,0,-0.137492,-2.4561,19.158,200.687,1.14041,714.941,0.0826763,-3.04454,-210.721,-14.821,2.46691,-14.8209,-204.774
2421,2.5e-06,0.999576,8.63669e-05,8.63669e-05,8.63669e-05,0.102113,0.0286305,-0.545171,0.0673533,0.0391921,-0.0499136,-0.0365588,0,0.0618701,0.999576,0.102113,0.0286305,8.63669e-05,1,0,0,0,0,0.00123988,0.921607,-342.202,41.0688,0.0948194,5.10777,-0.000164382,0.38772,116.033,21.3541,0.0779686,21.3541,-5.94225
2422,2.5e-06,0.04012,0.0447466,0.0447466,0.0447466,0.0812753,-0.0240544,-0.54533,0.0487146,-0.406122,0.00525344,-0.000857205,0,0.00532292,0.04012,0.0812753,-0.0240544,0.0447466,-1,0,0,0,0,-0.113022,-1.65687,165.556,-131.983,-5.27474,93.0821,0.0218623,-3.05364,-106.299,-160.116,1.69699,-160.116,127.549
2423,2.5e-06,-0.0821395,0.0150719,0.0150719,0.0150719,0.0746834,0.310458,-0.541086,0.0133527,0.107409,0.0349281,-0.00242517,0,0.0350121,-0.0821395,0.0746834,0.310458,0.0150719,-1,0,0,0,0,-0.0513685,4.58987,-55.0493,344.103,-4.06262,-243.079,-0.0342414,2.12539,249.634,58.2285,-4.67201,58.2286,-342.438
