sdf,area,u,v,p,c,c__y,c__x,c__y__y,c__x__x,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
51.1531,11.8777,-167.61,64.3586,11.8971,270.534,0.568837,-1.53237,-0.00187848,-0.000875493,293.451,0,293.451,1,-139.707,98.8469,0,37
20.5005,11.8777,-61.1911,61.1784,11.3514,130.776,-1.07801,-0.199182,0.00229151,0.0217133,-53.7625,0,-53.7625,1,44.6997,-129.499,0,38
63.2842,11.8777,-77.3533,54.0632,18.9385,171.454,0.710801,0.967403,0.00530443,0.00302082,-36.4037,0,-36.4037,1,113.364,86.7158,0,39
46.7317,11.8777,-30.1876,15.0783,6.00576,71.823,0.922582,0.729363,-0.0113836,-0.0362867,-8.1067,0,-8.1067,1,30.6449,53.2808,0,40
33.4128,11.8777,-63.1371,61.1704,11.3106,118.002,-0.884569,0.200557,0.00808549,0.0199076,-66.7721,0,-66.7721,1,74.9752,-116.584,0,41
50.0213,11.8777,-82.2803,54.2865,18.8567,183.975,0.729396,0.952048,-0.00654042,-0.00494445,-38.7384,0,-38.7384,1,116.589,99.9787,0,42
10.6445,11.8777,-42.8797,41.6023,7.11838,113.283,-1.13962,-0.45796,-5.10252e-05,-0.00520033,-27.7735,0,-27.7735,1,3.07402,-100.455,0,43
19.3504,11.8777,-23.0544,22.8833,5.43262,33.1863,-0.102796,0.721228,0.0511466,0.00663387,-18.9799,0,-18.9799,1,44.4551,-16.0816,0,44
43.2708,11.8777,-48.8472,51.7205,12.0372,75.4185,0.372184,0.830395,0.0528776,0.0014825,-21.3131,0,-21.3131,1,98.175,-15.9621,0,45
11.8802,11.8777,-123.723,82.4017,11.6338,267.876,0.0755194,-1.75149,0.0153371,0.000880278,222.922,0,222.922,1,-154.281,-35.6036,0,46
46.1183,11.8777,-61.8266,59.3158,11.2513,106.48,-0.703646,0.423616,-0.00774087,-0.00630732,-67.928,0,-67.928,1,99.3386,-91.4341,0,47
11.1338,11.8777,-11.5892,11.5611,1.69463,18.6057,-0.779967,0.387265,0.0267541,0.0175347,-13.5054,0,-13.5054,1,20.6032,-14.9621,0,48
16.2784,11.8777,-51.7355,50.733,10.5622,121.183,-1.11368,-0.324636,0.00159928,0.0359742,-39.7051,0,-39.7051,1,24.875,-115.738,0,49
18.0349,11.8777,-18.3374,18.213,4.16136,26.1561,-0.169711,0.704678,0.0637794,0.00908309,-16.013,0,-16.013,1,35.0751,-13.563,0,50
4.4781,11.8777,-89.8561,85.6722,17.1285,158.694,-0.772302,0.357404,0.00623825,0.00758822,-98.2798,0,-98.2798,1,130.821,-145.522,0,51
37.0871,11.8777,-88.3242,56.3666,19.4665,199.544,0.788205,0.898865,0.00498522,0.00442048,-34.9632,0,-34.9632,1,122.836,112.913,0,52
47.0329,11.8777,-70.9168,24.3464,5.68375,133.621,1.01739,-0.958489,-0.001177,-0.0146252,92.7426,0,92.7426,1,-29.9591,102.967,0,53
59.8468,11.8777,-36.9465,15.7212,5.99753,83.5791,1.04505,0.286566,0.00168696,0.0453864,5.84181,0,5.84181,1,16.5954,75.4998,0,54
22.9461,11.8777,-144.191,68.9102,7.20305,252.33,0.323608,-1.67491,-0.0181488,-0.00403277,263.807,0,263.807,1,-137.887,64.5181,0,55
51.9998,11.8777,-119.674,43.4086,9.41669,190.887,0.57067,-1.52759,0.00546782,0.00383558,207.584,0,207.584,1,-95.518,78.2191,0,56
48.3299,11.8777,-130.603,42.965,9.79366,209.307,0.709021,-1.40522,-0.000939941,-0.00155121,213.989,0,213.989,1,-97.4163,101.67,0,57
28.5958,11.8777,-17.6525,14.967,4.92961,39.3793,0.795391,0.926575,-0.0301283,-0.00915706,-4.45167,0,-4.45167,1,28.5958,16.1689,0,58
9.93453,11.8777,-201.433,71.1023,15.859,320.501,0.644782,-1.46368,0.00371696,0.00293232,340.68,0,340.68,1,-157.026,140.065,0,59
51.978,11.8777,-163.918,63.9068,11.3708,265.617,0.571227,-1.53086,0.00135906,0.000668351,287.441,0,287.441,1,-138.109,94.5207,0,60
6.61699,11.8777,-108.045,67.3398,23.2368,246.435,0.824252,0.864964,0.00201413,0.00216988,-37.95,0,-37.95,1,148.108,143.383,0,61
46.3238,11.8777,-28.1838,24.0773,7.72366,61.7587,0.817906,0.904285,-0.0234772,-0.00666455,-5.79318,0,-5.79318,1,45.892,24.3104,0,62
44.0875,11.8777,-88.0777,30.9414,7.02034,140.208,0.660421,-1.44825,0.0202653,0.0164146,147.993,0,147.993,1,-68.5313,61.2542,0,63
3.02774,11.8777,-100.206,54.8549,3.50527,192.452,0.228697,-1.70735,0.00263564,0.000297278,183.631,0,183.631,1,-108.247,30.4451,0,64
68.2405,11.8777,-52.1734,58.1073,14.8019,97.7608,0.856615,0.844748,0.0161341,0.000136515,5.70224,0,5.70224,1,105.283,10.1781,0,65
48.3227,11.8777,-103.436,28.7494,8.02998,175.425,0.951384,-1.11831,0.00440138,0.00957019,143.024,0,143.024,1,-69.9362,101.677,0,66
8.75832,11.8777,-43.2304,35.5168,1.52296,113.668,-0.976577,-0.953325,-0.00318661,-0.0247881,6.52772,0,6.52772,1,-30.1414,-86.6844,0,67
3.34132,11.8777,-74.0739,34.4489,14.8965,172.012,0.938236,0.678451,0.0035556,0.0304886,-17.9344,0,-17.9344,1,50.4694,146.659,0,68
59.3634,11.8777,-90.9919,69.6942,24.0459,200.673,0.762198,0.935181,0.000382681,3.31399e-05,-31.9731,0,-31.9731,1,140.443,90.6366,0,69
5.89209,11.8777,-132.258,36.7967,10.5661,232.231,1.01074,-1.02688,-0.00209254,-0.00623281,173.004,0,173.004,1,-83.829,144.108,0,70
0.575139,11.8777,-186.687,60.4999,13.7966,300.144,0.729183,-1.38589,-0.000170988,-0.000184764,302.843,0,302.843,1,-137.89,149.425,0,71
26.7762,11.8777,-102.849,29.8405,9.03981,184.324,0.953444,-1.14139,-0.00324356,-0.0154614,145.843,0,145.843,1,-58.4922,123.224,0,72
57.6527,11.8777,-59.9072,62.7368,14.7656,91.4371,0.220527,0.803447,0.0522603,0.00164326,-34.2972,0,-34.2972,1,119.973,-22.0172,0,73
0.265798,11.8777,-77.1139,53.1354,6.91662,166.322,-0.297273,-1.62418,-0.00569251,-0.00171748,109.451,0,109.451,1,-93.123,-48.73,0,74
48.3164,11.8777,-48.9224,53.7167,11.8123,78.879,0.486096,0.844055,0.0247265,0.000248421,-15.1818,0,-15.1818,1,99.4382,-10.2868,0,75
38.9037,11.8777,-132.555,41.5511,9.6896,214.613,0.83417,-1.26575,0.0212174,0.0278641,202.442,0,202.442,1,-96.1128,111.096,0,76
27.4402,11.8777,-59.2452,57.377,10.7404,110.182,-0.864448,0.232803,0.00409075,0.0103546,-63.3919,0,-63.3919,1,71.9435,-108.388,0,77
49.859,11.8777,-88.5527,61.3894,21.5453,196.376,0.715979,0.963581,-0.000429935,-0.000466618,-41.3742,0,-41.3742,1,129.256,100.141,0,78
41.5404,11.8777,-57.12,56.4176,12.5251,84.1612,-0.306042,0.630427,0.0282391,0.00574221,-53.2762,0,-53.2762,1,109.45,-49.7946,0,79
15.6887,11.8777,-186.16,64.3279,14.505,296.658,0.704503,-1.40882,0.00358076,0.00316727,307.586,0,307.586,1,-143.117,134.311,0,80
56.8672,11.8777,-35.2649,17.5327,7.03824,83.7996,0.912346,0.748316,-0.012625,-0.0390725,-10.3933,0,-10.3933,1,35.3832,62.5186,0,81
2.02215,11.8777,-47.4616,46.0031,8.31712,89.5107,-0.938382,0.113655,0.00693254,0.0211454,-48.5627,0,-48.5627,1,52.415,-89.2584,0,82
6.39081,11.8777,-53.2795,50.2642,3.89026,146.963,-1.12475,-0.388658,0.000233079,0.0129668,-35.827,0,-35.827,1,-18.7631,-124.145,0,83
72.5672,11.8777,-72.0292,71.5149,14.7759,107.749,-0.395461,0.589196,0.00640219,0.00149147,-70.7207,0,-70.7207,1,137.378,-68.2755,0,84
6.17662,11.8777,-21.1708,21.2949,3.19969,34.6502,-0.752131,0.389269,0.00162306,0.00157708,-24.2577,0,-24.2577,1,37.4308,-27.4187,0,85
